"proteins","genes","sub-UTD-DN0024.ganglia","sub-UTD-DN0024.nerve.root","sub-UTD-DN0046.ganglia","sub-UTD-DN0046.nerve.root","sub-UTD-DN0093.ganglia","sub-UTD-DN0093.nerve.root","sub-UTD-DN0123.ganglia","sub-UTD-DN0123.nerve.root","sub-UTD-DN0178.ganglia","sub-UTD-DN0178.nerve.root","sub-UTD-DN0181.ganglia","sub-UTD-DN0181.nerve.root","sub-UTD-DN0245.ganglia","sub-UTD-DN0245.nerve.root","sub-UTD-DN0251.ganglia","sub-UTD-DN0251.nerve.root"
"KRT1;KRT2;KRT77","KRT1",15.6626433543356,17.2880552676513,16.6070541267515,17.3163749094912,16.4177794842536,16.6571454436812,16.5334039398234,16.2153899591959,15.9764947136565,16.7598199944694,16.2662466089298,17.3517194980406,15.6636378173071,17.0152748152406,14.7070628647885,16.3274157724961
"KRT1;KRT5;KRT8","KRT1",NA,12.4386341726544,13.2265506752321,12.6499401917237,NA,13.4012795365965,NA,NA,NA,10.4750139303182,12.2583805326022,13.2615998620251,NA,12.1411726207701,NA,12.387374995061
"KRT2","KRT2",15.1283451373936,16.5043068253933,15.5925474924317,16.4179856097395,15.5122330524502,15.6185012648245,15.5174282448178,15.0971627123754,15.0916962632171,15.5014366623985,14.9678742352583,16.6421793209751,14.9208991318354,15.9414997208761,14.2763488773153,15.8133361577243
"KRT222","KRT222",11.7742879953529,12.416607792817,12.2522626839731,13.551896061294,12.1234168138378,13.4218055080422,NA,12.6017783055248,12.438176211065,13.3716365011701,NA,13.4984504686493,11.8341093373857,13.0477289190161,12.412455389809,13.1733283729128
"KRT2;KRT3","KRT2",12.0862556704539,13.4096747133374,13.3143283286377,13.2985015894126,12.6387950387682,13.7340976412659,13.0561397978126,12.8185182693083,13.5224711917587,NA,12.5866035924279,13.3565902817477,13.9374289961529,13.5641590568874,NA,13.0409996645618
"KRT2;KRT3;KRT7;KRT73;KRT74;KRT75;KRT8;KRT8","KRT2",13.7896681449114,14.5433156101379,13.9802361159579,15.1336367470093,14.0606162967306,14.4134498459524,14.0011755893147,13.8939333122934,13.2793628903035,14.199249231517,13.6020716937924,15.2346306011614,13.3089861953392,14.7612943357493,13.0623664411928,14.0876908148934
"KRT2;KRT5;KRT73;KRT75;KRT76;NEFH","KRT2",18.1950277316449,19.5576410602178,18.0089615272184,18.0921720146002,17.8335697644187,19.215600060952,17.3132169529149,18.5156424504462,16.4373223238587,17.9123233624774,17.6151720486731,19.1664727258019,17.5001721452094,18.7595805943054,17.5483605626375,19.8290011403336
"KRT4;KRT6B","KRT4",15.0516053639532,15.9352426361175,15.7182008061216,16.3470247556345,15.5503116531235,16.3983278553186,15.4440264619593,15.2985961652656,15.0360567926984,15.362744635176,14.9485859978167,15.992114689996,14.691041380034,15.6853666809148,14.5081363403913,15.2986287671777
"KRT5","KRT5",13.2862302785776,14.2834610565642,13.8592919879972,14.1426185429741,13.4594315424485,13.7506188237088,13.6045355843699,13.6356239999058,13.4829623305616,13.9094779807138,13.8769094146709,14.9113819986527,13.1942271973767,14.0739021560554,12.4526635582212,13.825644860476
"KRT6B","KRT6B",NA,13.0821192676606,12.8738845261838,12.4990159687533,11.248742534018,12.9920592120275,10.7443355197424,14.0455411275465,NA,NA,NA,12.9231369603903,NA,12.187120310559,NA,11.5247610408981
"KRT73;KRT74","KRT73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6738037300183,NA,NA,NA
"KRT75","KRT75",NA,12.3401560978304,12.0363941299812,NA,NA,13.6024205047172,NA,13.3699653337927,NA,NA,NA,11.9606780809631,NA,NA,NA,NA
"KRT7;KRT8;KRT8","KRT7",16.6676788334056,17.7785538056716,17.1302484023393,17.0627047897719,16.9575347812467,17.4609577902449,17.3619398613525,16.4000443627677,17.0916880757099,17.4945149039491,17.5901844725886,18.0943824277277,17.2274915538208,17.9519996545832,17.8347152044263,17.7635374481226
"KRT8;KRT8","KRT8",NA,NA,NA,12.03450668064,11.5918716445184,12.2365442192667,NA,NA,NA,NA,NA,11.9464494217844,NA,NA,NA,NA
"KRT9","KRT9",14.9545304292984,16.5114901302679,17.0418312767088,16.5205680294048,16.4499388795148,16.1904975562241,16.1631258796751,16.0964573827038,15.7666862177994,15.853005887822,14.9600720325044,16.0180499424904,15.6788821544996,16.1614963780719,14.3799196579555,15.9232441195898
"KRTCAP2","KRTCAP2",14.5346813321344,14.8237078511562,14.5682731049941,14.9434905452597,14.9572011328659,14.7941987568054,14.7080235998128,14.9355482476209,14.4133851327171,14.6693255098428,14.5130298550264,14.57921917234,14.5396533235364,14.8392173411803,14.8296674551873,14.3308982581287
"KTI12","KTI12",11.2292847854808,10.3917698676402,11.3238728117133,11.5298273460204,11.0683027138326,11.160012148084,11.3242799789329,11.5720446297923,11.2972024791519,10.6942860746463,11.0259801491624,11.2626073772457,10.9451672594551,11.4604386582655,11.6287152735473,11.5334027413411
"KTN1","KTN1",13.8708051922421,13.7699784009,14.0946025275393,14.1588340509393,14.3178028664317,13.9113959699793,14.2250586447625,14.2832149305115,14.0239691587391,13.91737904625,14.0251429943533,13.7942254409656,14.2477555362222,13.7092820462492,14.22719093507,13.5669248663428
"KTN1;KTN1","KTN1",16.861459991311,16.1785400515955,17.2143566685478,16.02185801106,16.8677573072035,15.7591261507726,16.9720261114072,15.977641464857,16.8135316451527,15.9803391755822,17.049422729088,16.141691320959,16.8473515795047,15.9975348365657,16.7537747641142,15.6368073531872
